dim_date_id,date_val,calendar_year,calendar_month,calendar_day,day_of_week,is_weekday,is_workday,is_holiday
1,2017-01-01,2017,1,1,1,0,0,1
2,2017-01-02,2017,1,2,2,1,0,0
3,2017-01-03,2017,1,3,3,1,1,0
4,2017-01-04,2017,1,4,4,1,1,0
5,2017-01-05,2017,1,5,5,1,1,0
6,2017-01-06,2017,1,6,6,1,1,0
7,2017-01-07,2017,1,7,7,0,0,0
8,2017-01-08,2017,1,8,1,0,0,0
9,2017-01-09,2017,1,9,2,1,1,0
10,2017-01-10,2017,1,10,3,1,1,0
11,2017-01-11,2017,1,11,4,1,1,0
12,2017-01-12,2017,1,12,5,1,1,0
13,2017-01-13,2017,1,13,6,1,1,0
14,2017-01-14,2017,1,14,7,0,0,0
15,2017-01-15,2017,1,15,1,0,0,0
16,2017-01-16,2017,1,16,2,1,1,0
17,2017-01-17,2017,1,17,3,1,1,0
18,2017-01-18,2017,1,18,4,1,1,0
19,2017-01-19,2017,1,19,5,1,1,0
20,2017-01-20,2017,1,20,6,1,1,0
21,2017-01-21,2017,1,21,7,0,0,0
22,2017-01-22,2017,1,22,1,0,0,0
23,2017-01-23,2017,1,23,2,1,1,0
24,2017-01-24,2017,1,24,3,1,1,0
25,2017-01-25,2017,1,25,4,1,1,0
26,2017-01-26,2017,1,26,5,1,1,0
27,2017-01-27,2017,1,27,6,1,1,0
28,2017-01-28,2017,1,28,7,0,0,0
29,2017-01-29,2017,1,29,1,0,0,0
30,2017-01-30,2017,1,30,2,1,1,0
31,2017-01-31,2017,1,31,3,1,1,0
32,2017-02-01,2017,2,1,4,1,1,0
33,2017-02-02,2017,2,2,5,1,1,0
34,2017-02-03,2017,2,3,6,1,1,0
35,2017-02-04,2017,2,4,7,0,0,0
36,2017-02-05,2017,2,5,1,0,0,0
37,2017-02-06,2017,2,6,2,1,1,0
38,2017-02-07,2017,2,7,3,1,1,0
39,2017-02-08,2017,2,8,4,1,1,0
