fid,model,data_type,score_func,score
0,Baseline,train,accuracy,0.7343367850406586
0,Baseline,train,precision,0.7343367850406586
0,Baseline,train,recall,1.0
0,Baseline,train,f1,0.8468214378828888
0,Baseline,train,roc_auc,0.5
0,Baseline,test,accuracy,0.7348952243906827
0,Baseline,test,precision,0.7348952243906827
0,Baseline,test,recall,1.0
0,Baseline,test,f1,0.8471926304930457
0,Baseline,test,roc_auc,0.5
0,Baseline,validation,accuracy,0.7343735947477291
0,Baseline,validation,precision,0.7343735947477291
0,Baseline,validation,recall,1.0
0,Baseline,validation,f1,0.846845912520418
0,Baseline,validation,roc_auc,0.5
1,Logistic,train,accuracy,0.7343367850406586
1,Logistic,validation,accuracy,0.7343735947477291
1,Logistic,test,accuracy,0.7348952243906827
1,Logistic,train,precision,0.7343367850406586
1,Logistic,validation,precision,0.7343735947477291
1,Logistic,test,precision,0.7348952243906827
1,Logistic,train,recall,1.0
1,Logistic,validation,recall,1.0
1,Logistic,test,recall,1.0
1,Logistic,train,f1,0.8468214378828888
1,Logistic,validation,f1,0.846845912520418
1,Logistic,test,f1,0.8471926304930457
1,Logistic,train,roc_auc,0.5
1,Logistic,validation,roc_auc,0.5
1,Logistic,test,roc_auc,0.5
1,SVC,train,accuracy,0.7343367850406586
1,SVC,validation,accuracy,0.7343735947477291
1,SVC,test,accuracy,0.7348952243906827
1,SVC,train,precision,0.7343367850406586
1,SVC,validation,precision,0.7343735947477291
1,SVC,test,precision,0.7348952243906827
1,SVC,train,recall,1.0
1,SVC,validation,recall,1.0
1,SVC,test,recall,1.0
1,SVC,train,f1,0.8468214378828888
1,SVC,validation,f1,0.846845912520418
1,SVC,test,f1,0.8471926304930457
1,SVC,train,roc_auc,0.5
1,SVC,validation,roc_auc,0.5
1,SVC,test,roc_auc,0.5
1,Decision Tree,train,accuracy,0.7343367850406586
1,Decision Tree,validation,accuracy,0.7343735947477291
1,Decision Tree,test,accuracy,0.7348952243906827
1,Decision Tree,train,precision,0.7343367850406586
1,Decision Tree,validation,precision,0.7343735947477291
1,Decision Tree,test,precision,0.7348952243906827
1,Decision Tree,train,recall,1.0
1,Decision Tree,validation,recall,1.0
1,Decision Tree,test,recall,1.0
1,Decision Tree,train,f1,0.8468214378828888
1,Decision Tree,validation,f1,0.846845912520418
1,Decision Tree,test,f1,0.8471926304930457
1,Decision Tree,train,roc_auc,0.5
1,Decision Tree,validation,roc_auc,0.5
1,Decision Tree,test,roc_auc,0.5
1,Random Forest,train,accuracy,0.7343367850406586
1,Random Forest,validation,accuracy,0.7343735947477291
1,Random Forest,test,accuracy,0.7348952243906827
1,Random Forest,train,precision,0.7343367850406586
1,Random Forest,validation,precision,0.7343735947477291
1,Random Forest,test,precision,0.7348952243906827
1,Random Forest,train,recall,1.0
1,Random Forest,validation,recall,1.0
1,Random Forest,test,recall,1.0
1,Random Forest,train,f1,0.8468214378828888
1,Random Forest,validation,f1,0.846845912520418
1,Random Forest,test,f1,0.8471926304930457
1,Random Forest,train,roc_auc,0.5
1,Random Forest,validation,roc_auc,0.5
1,Random Forest,test,roc_auc,0.5
1,Voting,train,accuracy,0.7343367850406586
1,Voting,validation,accuracy,0.7343735947477291
1,Voting,test,accuracy,0.7348952243906827
1,Voting,train,precision,0.7343367850406586
1,Voting,validation,precision,0.7343735947477291
1,Voting,test,precision,0.7348952243906827
1,Voting,train,recall,1.0
1,Voting,validation,recall,1.0
1,Voting,test,recall,1.0
1,Voting,train,f1,0.8468214378828888
1,Voting,validation,f1,0.846845912520418
1,Voting,test,f1,0.8471926304930457
1,Voting,train,roc_auc,0.5
1,Voting,validation,roc_auc,0.5
1,Voting,test,roc_auc,0.5
1,AdaBoost,train,accuracy,0.7343367850406586
1,AdaBoost,validation,accuracy,0.7343735947477291
1,AdaBoost,test,accuracy,0.7348952243906827
1,AdaBoost,train,precision,0.7343367850406586
1,AdaBoost,validation,precision,0.7343735947477291
1,AdaBoost,test,precision,0.7348952243906827
1,AdaBoost,train,recall,1.0
1,AdaBoost,validation,recall,1.0
1,AdaBoost,test,recall,1.0
1,AdaBoost,train,f1,0.8468214378828888
1,AdaBoost,validation,f1,0.846845912520418
1,AdaBoost,test,f1,0.8471926304930457
1,AdaBoost,train,roc_auc,0.5
1,AdaBoost,validation,roc_auc,0.5
1,AdaBoost,test,roc_auc,0.5
2,Logistic,train,accuracy,0.7343367850406586
